id_cliente,nome,data_nascimento,genero,cidade_residencia,estado_residencia,profissao,renda_mensal,nivel_educacional,qtd_dependentes,data_cadastro
C00001,Noah Santos,1993-06-18,Masculino,Londrina,PR,Preparador de máquinas,1962.7,Superior,3,2024-01-14
C00002,Matheus Nascimento,1987-04-18,Masculino,Londrina,PR,Flanelinha,4081.45,Fundamental,0,2022-11-26
C00003,Sra. Pietra Farias,1960-07-09,Outro,Londrina,PR,Embalador,18005.32,Fundamental,0,2024-02-03
C00004,Vicente Ferreira,1978-12-02,Feminino,Londrina,PR,Infectologista,2087.98,Fundamental,0,2021-12-26
C00005,Evelyn Costa,1976-08-29,Masculino,Londrina,PR,Reumatologista,10849.07,Fundamental,3,2022-11-14
C00006,Murilo Moraes,1966-02-11,Masculino,Londrina,PR,Economista,14746.36,Técnico,2,2025-04-19
C00007,Raquel Azevedo,1952-11-01,Masculino,Londrina,PR,Tesoureiro,9810.37,Superior,0,2024-01-19
C00008,Mirella Rocha,1993-02-11,Masculino,Londrina,PR,Almoxarife,15537.94,Médio,0,2023-01-07
C00009,Mariana da Rocha,1953-02-08,Feminino,Londrina,PR,Agente de defesa sanitária animal,7794.63,Médio,1,2023-09-30
C00010,Ryan Moraes,2003-11-19,Feminino,Londrina,PR,Neurocirurgião,3390.89,Pós,1,2021-06-01
C00011,Stella Aragão,1994-02-25,Feminino,Londrina,PR,Maestro,17178.65,Técnico,1,2023-09-08
C00012,Catarina Pires,1956-04-12,Masculino,Londrina,PR,Fundidor,15000.04,Técnico,1,2022-03-16
C00013,Vitor Campos,1959-11-08,Feminino,Londrina,PR,Técnico em agropecuária,2957.8,Superior,2,2024-03-12
C00014,Alice Rezende,1956-09-13,Outro,Londrina,PR,Esgrimista,12942.62,Superior,2,2024-04-06
C00015,Isabel Freitas,1993-06-09,Masculino,Londrina,PR,Profissional de informática,14534.58,Fundamental,1,2025-03-15
C00016,Paulo Porto,2006-05-29,Masculino,Londrina,PR,Mágico,15801.76,Fundamental,0,2021-08-19
C00017,Luiza Barros,1979-08-31,Masculino,Londrina,PR,Tecnólogo em produção de bebidas,17529.95,Pós,4,2021-04-01
C00018,João Lucas da Conceição,1981-06-11,Feminino,Londrina,PR,Mecânico de vôo,13260.16,Superior,2,2025-04-29
C00019,Ana Júlia Sales,1946-12-27,Feminino,Londrina,PR,Desembargador de justiça,8072.51,Superior,1,2020-11-28
C00020,Sr. Augusto Pires,1993-09-17,Outro,Londrina,PR,Peão de rodeiro,13488.65,Técnico,2,2024-01-10
C00021,Luigi Teixeira,1968-04-09,Masculino,Londrina,PR,Judoca,11381.59,Médio,1,2024-03-30
C00022,Luiz Gustavo Rezende,1974-10-24,Feminino,Londrina,PR,Gestor de recursos humanos,8519.93,Técnico,1,2022-11-25
C00023,Mariana Moura,1957-09-07,Outro,Londrina,PR,Remador,7499.23,Fundamental,6,2023-09-05
C00024,Luiza Sales,1963-09-19,Masculino,Londrina,PR,Motofrete,16393.35,Pós,0,2024-11-11
C00025,Kaique Lopes,1994-10-07,Masculino,Londrina,PR,Otorrinolaringologista,5403.18,Técnico,0,2022-08-14
C00026,Emanuelly da Rosa,1977-12-14,Outro,Londrina,PR,Analista de sistemas,7321.54,Pós,1,2023-07-18
C00027,Clara Pereira,1980-02-04,Outro,Londrina,PR,Cancerologista ou Oncologista,9988.76,Superior,2,2022-01-29
C00028,Daniel Peixoto,1962-07-03,Masculino,Londrina,PR,Meredeira,15282.3,Técnico,1,2025-04-30
C00029,Maria Alice Aragão,1975-10-21,Outro,Londrina,PR,Lixeiro/Coletor de lixo,12314.84,Técnico,0,2021-06-19
